threshold,tp,fp,tn,fn,recall,fpr,projected_precision
0.0177,500,197,303,0,1.0,0.394,0.01259350678790016
0.0175,500,201,299,0,1.0,0.402,0.012345983851453123
0.0174,500,202,298,0,1.0,0.404,0.01228561600078628
0.0172,500,203,297,0,1.0,0.406,0.01222583563586571
0.0171,500,205,295,0,1.0,0.41,0.01210800339024095
0.0169,500,207,293,0,1.0,0.414,0.011992420790060684
0.0168,500,208,292,0,1.0,0.416,0.01193545306979853
0.0167,500,209,291,0,1.0,0.418,0.011879024019386567
0.0166,500,210,290,0,1.0,0.42,0.011823126034523528
0.0165,500,211,289,0,1.0,0.422,0.011767751653369107
0.0164,500,213,287,0,1.0,0.426,0.011658544547298717
0.0163,500,214,286,0,1.0,0.428,0.011604697581581024
0.0162,500,216,284,0,1.0,0.432,0.011498482200349554
0.016,500,218,282,0,1.0,0.436,0.011394193518982727
0.0158,500,219,281,0,1.0,0.438,0.011342755382137429
0.0157,500,221,279,0,1.0,0.442,0.01124125992041188
0.0155,500,222,278,0,1.0,0.444,0.011191190294999777
0.0154,500,225,275,0,1.0,0.45,0.011043622308117063
0.0153,500,227,273,0,1.0,0.454,0.010947386858756814
0.0152,500,229,271,0,1.0,0.458,0.01085281413470513
0.0151,500,230,270,0,1.0,0.46,0.01080613788631943
0.015,500,233,267,0,1.0,0.466,0.010668487421853329
0.0149,500,234,266,0,1.0,0.468,0.010623379934559979
0.0148,500,237,263,0,1.0,0.474,0.010490317437005644
0.0147,500,240,260,0,1.0,0.48,0.010360547036883548
0.0146,500,246,254,0,1.0,0.492,0.010110405629473854
0.0145,500,250,250,0,1.0,0.5,0.009950248756218907
0.0144,500,252,248,0,1.0,0.504,0.009872058126678249
0.0143,500,254,246,0,1.0,0.508,0.00979508678446891
0.0142,500,259,241,0,1.0,0.518,0.009607809227339982
0.0141,500,262,238,0,1.0,0.524,0.00949884114138075
0.014,500,267,233,0,1.0,0.534,0.009322618537094698
0.0139,500,268,232,0,1.0,0.536,0.009288155743795512
0.0138,500,271,229,0,1.0,0.542,0.009186279373128294
0.0137,500,275,225,0,1.0,0.55,0.009053870529651425
0.0136,500,278,222,0,1.0,0.556,0.008957042026441188
0.0135,500,284,216,0,1.0,0.568,0.008769468219447173
0.0134,500,291,209,0,1.0,0.582,0.008560324607509117
0.0133,500,297,203,0,1.0,0.594,0.008388839487945238
0.0132,500,301,199,0,1.0,0.602,0.008278282753025713
0.0131,500,305,195,0,1.0,0.61,0.008170602173380179
0.013,500,309,191,0,1.0,0.618,0.00806568695455792
0.0129,500,315,185,0,1.0,0.63,0.007913270554720266
0.0128,500,319,181,0,1.0,0.638,0.007814820024694831
0.0127,500,320,180,0,1.0,0.64,0.00779058896852602
0.0126,500,326,174,0,1.0,0.652,0.00764830054761832
0.0125,500,330,170,0,1.0,0.66,0.00755629439322956
0.0124,500,334,166,0,1.0,0.668,0.007466475524893229
0.0123,500,336,164,0,1.0,0.672,0.007422362092512321
0.0122,500,340,160,0,1.0,0.68,0.007335680751173708
0.0121,500,348,152,0,1.0,0.696,0.007168253240050466
0.012,500,354,146,0,1.0,0.708,0.007047613678008627
0.0119,500,359,141,0,1.0,0.718,0.006950139697807926
0.0118,500,364,136,0,1.0,0.728,0.006855325216628277
0.0117,500,372,128,0,1.0,0.744,0.006708887934735939
0.0116,500,377,123,0,1.0,0.754,0.006620499715318513
0.0115,500,381,119,0,1.0,0.762,0.0065514485252689365
0.0114,500,388,112,0,1.0,0.776,0.006434012765081326
0.0113,500,392,108,0,1.0,0.784,0.006368777704183013
0.0112,500,395,105,0,1.0,0.79,0.0063207129764237405
0.0111,500,400,100,0,1.0,0.8,0.006242197253433208
0.011,500,409,91,0,1.0,0.818,0.006105677058529021
0.0109,500,412,88,0,1.0,0.824,0.006061487731548832
0.0108,500,414,86,0,1.0,0.828,0.006032381825640036
0.0107,500,417,83,0,1.0,0.834,0.005989243318999078
